DEBUG 2018-07-01 11:22:13,252 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - PhoneBook.Sessions.Dto.UserLoginInfoDto
DEBUG 2018-07-01 11:22:13,252 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - PhoneBook.Roles.Dto.CreateRoleDto
DEBUG 2018-07-01 11:22:13,252 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - PhoneBook.Roles.Dto.PermissionDto
DEBUG 2018-07-01 11:22:13,252 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - PhoneBook.Roles.Dto.RoleDto
DEBUG 2018-07-01 11:22:13,253 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - PhoneBook.MultiTenancy.Dto.CreateTenantDto
DEBUG 2018-07-01 11:22:13,253 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - PhoneBook.MultiTenancy.Dto.TenantDto
DEBUG 2018-07-01 11:22:13,253 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - PhoneBook.Web.Views.Shared.Components.TenantChange.TenantChangeViewModel
INFO  2018-07-01 11:22:21,855 [6    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/  
WARN  2018-07-01 11:22:21,972 [6    ] calization.RequestLocalizationMiddleware - CookieRequestCultureProvider returned the following unsupported cultures 'zh-CN'.
WARN  2018-07-01 11:22:21,972 [6    ] calization.RequestLocalizationMiddleware - CookieRequestCultureProvider returned the following unsupported UI Cultures 'zh-CN'.
INFO  2018-07-01 11:22:24,305 [6    ] ore.Mvc.Internal.ControllerActionInvoker - Route matched with {action = "Index", controller = "Home", area = ""}. Executing action PhoneBook.Web.Controllers.HomeController.Index (PhoneBook.Web.Mvc)
WARN  2018-07-01 11:22:24,712 [6    ] Mvc.Authorization.AbpAuthorizationFilter - Abp.Authorization.AbpAuthorizationException: Current user did not login to the application!
   at Abp.Authorization.AuthorizationHelper.AuthorizeAsync(IEnumerable`1 authorizeAttributes) in D:\Github\aspnetboilerplate\src\Abp\Authorization\AuthorizationHelper.cs:line 43
   at Abp.Authorization.AuthorizationHelper.CheckPermissions(MethodInfo methodInfo, Type type) in D:\Github\aspnetboilerplate\src\Abp\Authorization\AuthorizationHelper.cs:line 98
   at Abp.Authorization.AuthorizationHelper.AuthorizeAsync(MethodInfo methodInfo, Type type) in D:\Github\aspnetboilerplate\src\Abp\Authorization\AuthorizationHelper.cs:line 57
   at Abp.AspNetCore.Mvc.Authorization.AbpAuthorizationFilter.OnAuthorizationAsync(AuthorizationFilterContext context) in D:\Github\aspnetboilerplate\src\Abp.AspNetCore\AspNetCore\Mvc\Authorization\AbpAuthorizationFilter.cs:line 53
Abp.Authorization.AbpAuthorizationException: Current user did not login to the application!
   at Abp.Authorization.AuthorizationHelper.AuthorizeAsync(IEnumerable`1 authorizeAttributes) in D:\Github\aspnetboilerplate\src\Abp\Authorization\AuthorizationHelper.cs:line 43
   at Abp.Authorization.AuthorizationHelper.CheckPermissions(MethodInfo methodInfo, Type type) in D:\Github\aspnetboilerplate\src\Abp\Authorization\AuthorizationHelper.cs:line 98
   at Abp.Authorization.AuthorizationHelper.AuthorizeAsync(MethodInfo methodInfo, Type type) in D:\Github\aspnetboilerplate\src\Abp\Authorization\AuthorizationHelper.cs:line 57
   at Abp.AspNetCore.Mvc.Authorization.AbpAuthorizationFilter.OnAuthorizationAsync(AuthorizationFilterContext context) in D:\Github\aspnetboilerplate\src\Abp.AspNetCore\AspNetCore\Mvc\Authorization\AbpAuthorizationFilter.cs:line 53
INFO  2018-07-01 11:22:24,716 [6    ] ore.Mvc.Internal.ControllerActionInvoker - Authorization failed for the request at filter 'Abp.AspNetCore.Mvc.Authorization.AbpAuthorizationFilter'.
INFO  2018-07-01 11:22:24,735 [6    ] Microsoft.AspNetCore.Mvc.ChallengeResult - Executing ChallengeResult with authentication schemes ().
INFO  2018-07-01 11:22:24,770 [6    ] tion.Cookies.CookieAuthenticationHandler - AuthenticationScheme: Identity.Application was challenged.
INFO  2018-07-01 11:22:24,775 [6    ] ore.Mvc.Internal.ControllerActionInvoker - Executed action PhoneBook.Web.Controllers.HomeController.Index (PhoneBook.Web.Mvc) in 463.4053ms
INFO  2018-07-01 11:22:24,880 [6    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 3032.6991ms 302 
INFO  2018-07-01 11:22:24,920 [6    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/Account/Login?ReturnUrl=%2F  
WARN  2018-07-01 11:22:24,926 [6    ] calization.RequestLocalizationMiddleware - CookieRequestCultureProvider returned the following unsupported cultures 'zh-CN'.
WARN  2018-07-01 11:22:24,926 [6    ] calization.RequestLocalizationMiddleware - CookieRequestCultureProvider returned the following unsupported UI Cultures 'zh-CN'.
